t_us,cmd_deg,meas_deg
2776,-2.0,5.500003005248267
5508,-2.0,5.500003005248267
8239,-2.0,5.500003005248267
10971,-2.0,-4.999999006486146
13704,-2.0,-4.999999006486146
16433,-2.0,-4.999999006486146
19153,-2.0,-4.999999006486146
21877,-2.0,-4.999999006486146
24602,-2.0,-4.999999006486146
27323,-2.0,-1.4999983359080082
30056,-2.0,-1.4999983359080082
32778,-2.0,-1.4999983359080082
35507,-2.0,-3.999997839151081
38227,-2.0,-3.999997839151081
40949,-2.0,-3.999997839151081
43670,-2.0,-3.999997839151081
46396,-2.0,3.4150945889086897e-06
49116,-2.0,3.4150945889086897e-06
51838,-2.0,3.4150945889086897e-06
54559,-2.0,0.5000005836675324
57285,-2.0,0.5000005836675324
60006,-2.0,0.5000005836675324
62727,-2.0,1.5000017510025971
65447,-2.0,1.5000017510025971
68175,-2.0,1.5000017510025971
70902,-2.0,1.9999989195755405
73624,-2.0,1.9999989195755405
76353,-2.0,1.9999989195755405
79074,-2.0,1.9999989195755405
81795,-2.0,1.9999989195755405
84521,-2.0,1.9999989195755405
87248,-2.0,1.9999989195755405
89968,-2.0,1.0000011673350648
92689,-2.0,1.0000011673350648
95411,-2.0,1.0000011673350648
98137,-2.0,1.9999989195755405
100858,-2.0,1.9999989195755405
103578,-2.0,1.9999989195755405
106300,-2.0,1.9999989195755405
109026,-2.0,1.9999989195755405
111747,-2.0,1.9999989195755405
114469,-2.0,1.9999989195755405
117194,-2.0,3.0000000869106054
119916,-2.0,3.0000000869106054
122637,-2.0,3.0000000869106054
125358,-2.0,1.5000017510025971
128080,-2.0,1.5000017510025971
130805,-2.0,1.5000017510025971
133525,-2.0,1.9999989195755405
136246,-2.0,1.9999989195755405
138968,-2.0,1.9999989195755405
141694,-2.0,1.5000017510025971
144415,-2.0,1.5000017510025971
147137,-2.0,1.5000017510025971
149859,-2.0,1.5000017510025971
152580,-2.0,2.5000029183376618
155300,-2.0,2.5000029183376618
158021,-2.0,2.5000029183376618
160744,-2.0,1.9999989195755405
163464,-2.0,1.9999989195755405
166185,-2.0,1.9999989195755405
168905,-2.0,1.9999989195755405
171626,-2.0,1.9999989195755405
174354,-2.0,1.9999989195755405
177075,-2.0,3.0000000869106054
179797,-2.0,3.0000000869106054
182519,-2.0,3.0000000869106054
185239,-2.0,3.0000000869106054
187962,-2.0,2.5000029183376618
190683,-2.0,2.5000029183376618
193405,-2.0,2.5000029183376618
196125,-2.0,1.9999989195755405
198852,-2.0,1.9999989195755405
201572,-2.0,1.9999989195755405
204294,-2.0,2.5000029183376618
207014,-2.0,2.5000029183376618
209735,-2.0,2.5000029183376618
212459,-2.0,1.5000017510025971
215180,-2.0,1.5000017510025971
217901,-2.0,1.5000017510025971
220623,-2.0,1.5000017510025971
223350,-2.0,2.5000029183376618
226076,-2.0,2.5000029183376618
228796,-2.0,2.5000029183376618
231517,-2.0,3.0000000869106054
234237,-2.0,3.0000000869106054
236959,-2.0,3.0000000869106054
239679,-2.0,1.9999989195755405
242400,-2.0,1.9999989195755405
245121,-2.0,1.9999989195755405
247842,-2.0,1.9999989195755405
250563,-2.0,1.5000017510025971
253283,-2.0,1.5000017510025971
256010,-2.0,1.5000017510025971
258731,-2.0,2.5000029183376618
261451,-2.0,2.5000029183376618
264172,-2.0,2.5000029183376618
266899,-2.0,1.9999989195755405
269621,-2.0,1.9999989195755405
272349,-2.0,1.9999989195755405
275070,-2.0,1.5000017510025971
277790,-2.0,1.5000017510025971
280518,-2.0,1.5000017510025971
283238,-2.0,3.0000000869106054
285959,-2.0,3.0000000869106054
288679,-2.0,3.0000000869106054
291407,-2.0,3.0000000869106054
294127,-2.0,1.5000017510025971
296847,-2.0,1.5000017510025971
299568,-2.0,1.5000017510025971
302289,-2.0,2.5000029183376618
305010,-2.0,2.5000029183376618
307731,-2.0,2.5000029183376618
310451,-2.0,1.5000017510025971
313173,-2.0,1.5000017510025971
315893,-2.0,1.5000017510025971
318614,-2.0,1.5000017510025971
321336,-2.0,1.5000017510025971
324068,-2.0,1.5000017510025971
326789,-2.0,1.5000017510025971
329509,-2.0,1.9999989195755405
332230,-2.0,1.9999989195755405
334952,-2.0,1.9999989195755405
337672,-2.0,1.9999989195755405
340392,-2.0,1.9999989195755405
343112,-2.0,1.9999989195755405
345837,-2.0,2.5000029183376618
348557,-2.0,2.5000029183376618
351278,-2.0,2.5000029183376618
354000,-2.0,1.5000017510025971
356726,-2.0,1.5000017510025971
359453,-2.0,1.5000017510025971
362173,-2.0,1.5000017510025971
364893,-2.0,2.5000029183376618
367616,-2.0,2.5000029183376618
370348,-2.0,2.5000029183376618
373070,-2.0,1.5000017510025971
375790,-2.0,1.5000017510025971
378512,-2.0,1.5000017510025971
381232,-2.0,1.9999989195755405
383952,-2.0,1.9999989195755405
386673,-2.0,1.9999989195755405
389395,-2.0,1.9999989195755405
392120,-2.0,1.9999989195755405
394841,-2.0,1.9999989195755405
397560,-2.0,1.9999989195755405
400282,-2.0,1.5000017510025971
