t_us,cmd_deg,meas_deg
2778,-10.0,14.40528903265129
5506,-10.0,14.40528903265129
8229,-10.0,14.40528903265129
10951,-10.0,-30.000000869106053
13679,-10.0,-30.000000869106053
16406,-10.0,-30.000000869106053
19132,-10.0,-30.000000869106053
21853,-10.0,-16.784141470447416
24576,-10.0,-16.784141470447416
27296,-10.0,-16.784141470447416
30020,-10.0,-0.39647540629935435
32740,-10.0,-0.39647540629935435
35461,-10.0,-0.39647540629935435
38191,-10.0,2.2466951073945376
40923,-10.0,2.2466951073945376
43645,-10.0,2.2466951073945376
46368,-10.0,-0.39647540629935435
49089,-10.0,-0.39647540629935435
51808,-10.0,-0.39647540629935435
54537,-10.0,-0.39647540629935435
57260,-10.0,-2.5110131832923037
59980,-10.0,-2.5110131832923037
62700,-10.0,-2.5110131832923037
65419,-10.0,-7.268723181526439
68141,-10.0,-7.268723181526439
70867,-10.0,-7.268723181526439
73587,-10.0,-8.325992070022913
76306,-10.0,-8.325992070022913
79029,-10.0,-8.325992070022913
81755,-10.0,-8.854626514271152
84475,-10.0,-8.854626514271152
87194,-10.0,-8.854626514271152
89917,-10.0,-8.854626514271152
92643,-10.0,-5.682819848781727
95363,-10.0,-5.682819848781727
98083,-10.0,-5.682819848781727
100805,-10.0,-5.682819848781727
103532,-10.0,-5.682819848781727
106252,-10.0,-5.682819848781727
108972,-10.0,-5.15418540453349
111693,-10.0,-5.15418540453349
114419,-10.0,-5.15418540453349
117139,-10.0,-5.15418540453349
119859,-10.0,-5.15418540453349
122579,-10.0,-5.15418540453349
125298,-10.0,-5.15418540453349
128018,-10.0,-4.625550960285253
130737,-10.0,-4.625550960285253
133458,-10.0,-4.625550960285253
136179,-10.0,-5.682819848781727
138899,-10.0,-5.682819848781727
141619,-10.0,-5.682819848781727
144339,-10.0,-6.2114542930299645
147060,-10.0,-6.2114542930299645
149780,-10.0,-6.2114542930299645
152500,-10.0,-5.15418540453349
155219,-10.0,-5.15418540453349
157938,-10.0,-5.15418540453349
160660,-10.0,-5.15418540453349
163380,-10.0,-5.15418540453349
166102,-10.0,-5.15418540453349
168821,-10.0,-5.15418540453349
171550,-10.0,-5.682819848781727
174270,-10.0,-5.682819848781727
176991,-10.0,-5.682819848781727
179712,-10.0,-4.625550960285253
182432,-10.0,-4.625550960285253
185152,-10.0,-4.625550960285253
187876,-10.0,-4.625550960285253
190595,-10.0,-4.625550960285253
193315,-10.0,-4.625550960285253
196039,-10.0,-6.2114542930299645
198769,-10.0,-6.2114542930299645
201491,-10.0,-6.2114542930299645
204211,-10.0,-6.2114542930299645
206931,-10.0,-6.2114542930299645
209652,-10.0,-6.2114542930299645
212378,-10.0,-6.2114542930299645
215099,-10.0,-4.625550960285253
217818,-10.0,-4.625550960285253
220547,-10.0,-4.625550960285253
223266,-10.0,-5.682819848781727
225986,-10.0,-5.682819848781727
228705,-10.0,-5.682819848781727
231426,-10.0,-4.625550960285253
234146,-10.0,-4.625550960285253
236865,-10.0,-4.625550960285253
239585,-10.0,-4.625550960285253
242306,-10.0,-5.15418540453349
245026,-10.0,-5.15418540453349
247745,-10.0,-5.15418540453349
250465,-10.0,-5.15418540453349
253195,-10.0,-5.15418540453349
255926,-10.0,-5.15418540453349
258648,-10.0,-5.682819848781727
261369,-10.0,-5.682819848781727
264091,-10.0,-5.682819848781727
266811,-10.0,-5.15418540453349
269538,-10.0,-5.15418540453349
272258,-10.0,-5.15418540453349
274979,-10.0,-5.15418540453349
277699,-10.0,-5.682819848781727
280419,-10.0,-5.682819848781727
283139,-10.0,-5.682819848781727
285860,-10.0,-5.15418540453349
288580,-10.0,-5.15418540453349
291299,-10.0,-5.15418540453349
294019,-10.0,-5.15418540453349
296740,-10.0,-5.15418540453349
299471,-10.0,-5.15418540453349
