t_us,cmd_deg,meas_deg
2755,-15.0,18.40000372047333
5483,-15.0,18.40000372047333
8206,-15.0,18.40000372047333
10933,-15.0,-41.333333771858435
13659,-15.0,-41.333333771858435
16386,-15.0,-41.333333771858435
19107,-15.0,-8.799998661226967
21829,-15.0,-8.799998661226967
24550,-15.0,-8.799998661226967
27275,-15.0,-3.4666659322958
29996,-15.0,-3.4666659322958
32718,-15.0,-3.4666659322958
35438,-15.0,-3.4666659322958
38172,-15.0,-2.933334025440519
40894,-15.0,-2.933334025440519
43616,-15.0,-2.933334025440519
46337,-15.0,-6.666667618711254
49058,-15.0,-6.666667618711254
51784,-15.0,-6.666667618711254
54506,-15.0,-3.999997839151081
57227,-15.0,-3.999997839151081
59947,-15.0,-3.999997839151081
62674,-15.0,1.8666702117299565
65395,-15.0,1.8666702117299565
68116,-15.0,1.8666702117299565
70837,-15.0,1.8666702117299565
73557,-15.0,0.26666424588034615
76279,-15.0,0.26666424588034615
78999,-15.0,0.26666424588034615
81720,-15.0,-6.133335711855973
84440,-15.0,-6.133335711855973
87169,-15.0,-6.133335711855973
89890,-15.0,-10.400001211981989
92611,-15.0,-10.400001211981989
95332,-15.0,-10.400001211981989
98058,-15.0,-12.000000347642422
100782,-15.0,-12.000000347642422
103502,-15.0,-12.000000347642422
106223,-15.0,-12.000000347642422
108947,-15.0,-13.600002898397443
111667,-15.0,-13.600002898397443
114389,-15.0,-13.600002898397443
117109,-15.0,-12.533332254497703
119836,-15.0,-12.533332254497703
122557,-15.0,-12.533332254497703
125277,-15.0,-13.600002898397443
127997,-15.0,-13.600002898397443
130718,-15.0,-13.600002898397443
133439,-15.0,-13.066667576447573
136167,-15.0,-13.066667576447573
138888,-15.0,-13.066667576447573
141611,-15.0,-13.066667576447573
144332,-15.0,-12.000000347642422
147054,-15.0,-12.000000347642422
149774,-15.0,-12.000000347642422
152496,-15.0,-11.466665025692551
155217,-15.0,-11.466665025692551
157937,-15.0,-11.466665025692551
160657,-15.0,-12.000000347642422
163379,-15.0,-12.000000347642422
166100,-15.0,-12.000000347642422
168820,-15.0,-12.533332254497703
171541,-15.0,-12.533332254497703
174262,-15.0,-12.533332254497703
176983,-15.0,-12.533332254497703
179704,-15.0,-12.533332254497703
182430,-15.0,-12.533332254497703
185161,-15.0,-12.533332254497703
187887,-15.0,-12.533332254497703
190607,-15.0,-12.533332254497703
193327,-15.0,-12.533332254497703
196049,-15.0,-13.066667576447573
198770,-15.0,-13.066667576447573
201490,-15.0,-13.066667576447573
204210,-15.0,-13.066667576447573
206932,-15.0,-13.066667576447573
209652,-15.0,-13.066667576447573
212375,-15.0,-13.066667576447573
215095,-15.0,-12.533332254497703
217817,-15.0,-12.533332254497703
220538,-15.0,-12.533332254497703
223259,-15.0,-12.533332254497703
225979,-15.0,-12.533332254497703
228703,-15.0,-12.533332254497703
231423,-15.0,-11.466665025692551
234144,-15.0,-11.466665025692551
236865,-15.0,-11.466665025692551
239593,-15.0,-13.066667576447573
242320,-15.0,-13.066667576447573
245040,-15.0,-13.066667576447573
247760,-15.0,-12.533332254497703
250483,-15.0,-12.533332254497703
253210,-15.0,-12.533332254497703
255931,-15.0,-12.533332254497703
258651,-15.0,-12.533332254497703
261373,-15.0,-12.533332254497703
264093,-15.0,-12.533332254497703
266814,-15.0,-12.000000347642422
269534,-15.0,-12.000000347642422
272256,-15.0,-12.000000347642422
274977,-15.0,-12.533332254497703
277698,-15.0,-12.533332254497703
280417,-15.0,-12.533332254497703
283139,-15.0,-12.533332254497703
285860,-15.0,-12.533332254497703
288580,-15.0,-12.533332254497703
291300,-15.0,-12.533332254497703
294026,-15.0,-13.600002898397443
296746,-15.0,-13.600002898397443
299470,-15.0,-13.600002898397443
302190,-15.0,-12.533332254497703
304916,-15.0,-12.533332254497703
307643,-15.0,-12.533332254497703
310363,-15.0,-12.533332254497703
313083,-15.0,-12.533332254497703
315806,-15.0,-12.533332254497703
318533,-15.0,-13.066667576447573
321253,-15.0,-13.066667576447573
323973,-15.0,-13.066667576447573
326696,-15.0,-13.066667576447573
329423,-15.0,-13.066667576447573
332143,-15.0,-13.066667576447573
334863,-15.0,-13.066667576447573
337586,-15.0,-13.600002898397443
340313,-15.0,-13.600002898397443
343033,-15.0,-13.600002898397443
345753,-15.0,-11.466665025692551
348475,-15.0,-11.466665025692551
351195,-15.0,-11.466665025692551
353916,-15.0,-12.000000347642422
356636,-15.0,-12.000000347642422
359357,-15.0,-12.000000347642422
362078,-15.0,-12.000000347642422
364799,-15.0,-12.533332254497703
367519,-15.0,-12.533332254497703
370240,-15.0,-12.533332254497703
372966,-15.0,-12.000000347642422
375686,-15.0,-12.000000347642422
378406,-15.0,-12.000000347642422
381129,-15.0,-12.000000347642422
383849,-15.0,-12.000000347642422
386570,-15.0,-12.000000347642422
389290,-15.0,-12.533332254497703
392011,-15.0,-12.533332254497703
394732,-15.0,-12.533332254497703
397460,-15.0,-12.533332254497703
400181,-15.0,-13.600002898397443
402903,-15.0,-13.600002898397443
405624,-15.0,-13.600002898397443
408344,-15.0,-15.199998618963287
411065,-15.0,-15.199998618963287
413786,-15.0,-15.199998618963287
416509,-15.0,-11.466665025692551
419229,-15.0,-11.466665025692551
421950,-15.0,-11.466665025692551
424673,-15.0,-11.466665025692551
427399,-15.0,-11.466665025692551
430119,-15.0,-11.466665025692551
432839,-15.0,-11.466665025692551
435562,-15.0,-13.066667576447573
438289,-15.0,-13.066667576447573
441010,-15.0,-13.066667576447573
443730,-15.0,-12.000000347642422
446459,-15.0,-12.000000347642422
449181,-15.0,-12.000000347642422
451907,-15.0,-13.066667576447573
454627,-15.0,-13.066667576447573
457349,-15.0,-13.066667576447573
460070,-15.0,-12.533332254497703
462790,-15.0,-12.533332254497703
465510,-15.0,-12.533332254497703
468232,-15.0,-12.533332254497703
470952,-15.0,-13.066667576447573
473673,-15.0,-13.066667576447573
476393,-15.0,-13.066667576447573
479115,-15.0,-12.000000347642422
481836,-15.0,-12.000000347642422
484556,-15.0,-12.000000347642422
487276,-15.0,-13.066667576447573
489998,-15.0,-13.066667576447573
492722,-15.0,-13.066667576447573
495443,-15.0,-12.000000347642422
498170,-15.0,-12.000000347642422
500892,-15.0,-12.000000347642422
503613,-15.0,-12.000000347642422
506333,-15.0,-11.466665025692551
509053,-15.0,-11.466665025692551
511775,-15.0,-11.466665025692551
514495,-15.0,-14.133334805252725
517216,-15.0,-14.133334805252725
519936,-15.0,-14.133334805252725
522658,-15.0,-14.133334805252725
525379,-15.0,-14.133334805252725
528100,-15.0,-14.133334805252725
530819,-15.0,-12.533332254497703
533541,-15.0,-12.533332254497703
536265,-15.0,-12.533332254497703
538985,-15.0,-12.533332254497703
541706,-15.0,-13.600002898397443
