t_us,cmd_deg,meas_deg
2780,-10.0,4.7107439099001684
5524,-10.0,4.7107439099001684
8249,-10.0,4.7107439099001684
10975,-10.0,58.760329232627434
13705,-10.0,58.760329232627434
16432,-10.0,58.760329232627434
19160,-10.0,58.760329232627434
21883,-10.0,41.404955135577026
24604,-10.0,41.404955135577026
27325,-10.0,41.404955135577026
30049,-10.0,15.123968368130413
32771,-10.0,15.123968368130413
35499,-10.0,15.123968368130413
38220,-10.0,2.2314023138254044
40941,-10.0,2.2314023138254044
43667,-10.0,2.2314023138254044
46394,-10.0,-3.719007271470263
49115,-10.0,-3.719007271470263
51835,-10.0,-3.719007271470263
54557,-10.0,-3.719007271470263
57283,-10.0,-5.7024788407827804
60004,-10.0,-5.7024788407827804
62724,-10.0,-5.7024788407827804
65446,-10.0,-3.719007271470263
68172,-10.0,-3.719007271470263
70894,-10.0,-3.719007271470263
73614,-10.0,-9.173553660192862
76336,-10.0,-9.173553660192862
79062,-10.0,-9.173553660192862
81782,-10.0,-8.677687048525202
84510,-10.0,-8.677687048525202
87232,-10.0,-8.677687048525202
89953,-10.0,-8.677687048525202
92679,-10.0,-12.148761867935285
95400,-10.0,-12.148761867935285
98122,-10.0,-12.148761867935285
100843,-10.0,-12.148761867935285
103569,-10.0,-12.148761867935285
106296,-10.0,-12.148761867935285
109018,-10.0,-12.644628479602943
111739,-10.0,-12.644628479602943
114460,-10.0,-12.644628479602943
117186,-10.0,-12.644628479602943
119908,-10.0,-12.644628479602943
122628,-10.0,-12.644628479602943
125348,-10.0,-12.644628479602943
128069,-10.0,-13.140496798817896
130797,-10.0,-13.140496798817896
133519,-10.0,-13.140496798817896
136239,-10.0,-12.148761867935285
138964,-10.0,-12.148761867935285
141686,-10.0,-12.148761867935285
144408,-10.0,-11.652891841173037
147128,-10.0,-11.652891841173037
149849,-10.0,-11.652891841173037
152570,-10.0,-12.644628479602943
155291,-10.0,-12.644628479602943
158012,-10.0,-12.644628479602943
160732,-10.0,-12.644628479602943
163456,-10.0,-13.140496798817896
166176,-10.0,-13.140496798817896
168897,-10.0,-13.140496798817896
171617,-10.0,-12.644628479602943
174345,-10.0,-12.644628479602943
177066,-10.0,-12.644628479602943
179793,-10.0,-12.644628479602943
182514,-10.0,-12.644628479602943
185236,-10.0,-12.644628479602943
187961,-10.0,-13.140496798817896
190682,-10.0,-13.140496798817896
193402,-10.0,-13.140496798817896
196124,-10.0,-13.140496798817896
198850,-10.0,-11.652891841173037
201571,-10.0,-11.652891841173037
204291,-10.0,-11.652891841173037
207014,-10.0,-12.644628479602943
209740,-10.0,-12.644628479602943
212469,-10.0,-12.644628479602943
215189,-10.0,-13.140496798817896
217911,-10.0,-13.140496798817896
220631,-10.0,-13.140496798817896
223357,-10.0,-13.140496798817896
226077,-10.0,-13.140496798817896
228800,-10.0,-13.140496798817896
231520,-10.0,-11.652891841173037
234246,-10.0,-11.652891841173037
236966,-10.0,-11.652891841173037
239688,-10.0,-11.652891841173037
242408,-10.0,-12.148761867935285
245129,-10.0,-12.148761867935285
247851,-10.0,-12.148761867935285
250573,-10.0,-14.132231729700507
253293,-10.0,-14.132231729700507
256016,-10.0,-14.132231729700507
258736,-10.0,-11.652891841173037
261458,-10.0,-11.652891841173037
264179,-10.0,-11.652891841173037
266899,-10.0,-12.148761867935285
269620,-10.0,-12.148761867935285
272341,-10.0,-12.148761867935285
275062,-10.0,-12.148761867935285
277794,-10.0,-11.652891841173037
280515,-10.0,-11.652891841173037
283237,-10.0,-11.652891841173037
285958,-10.0,-13.140496798817896
288678,-10.0,-13.140496798817896
291404,-10.0,-13.140496798817896
294125,-10.0,-12.644628479602943
296846,-10.0,-12.644628479602943
299567,-10.0,-12.644628479602943
302293,-10.0,-12.644628479602943
305015,-10.0,-12.644628479602943
307736,-10.0,-12.644628479602943
310457,-10.0,-12.644628479602943
