t_us,cmd_deg,meas_deg
2759,-5.0,6.63716803165226
5487,-5.0,7.168143523241195
8214,-5.0,7.168143523241195
10945,-5.0,7.168143523241195
13668,-5.0,-30.000000869106053
16390,-5.0,-30.000000869106053
19126,-5.0,-30.000000869106053
21858,-5.0,-19.911504094956783
24579,-5.0,-19.911504094956783
27303,-5.0,-19.911504094956783
30022,-5.0,-19.911504094956783
32745,-5.0,-5.044248387074636
35465,-5.0,-5.044248387074636
38186,-5.0,-5.044248387074636
40906,-5.0,-5.044248387074636
43628,-5.0,-5.044248387074636
46348,-5.0,-5.044248387074636
49069,-5.0,-0.7964615298361069
51789,-5.0,-0.7964615298361069
54511,-5.0,-0.7964615298361069
57231,-5.0,-2.920353250908077
59954,-5.0,-2.920353250908077
62674,-5.0,-2.920353250908077
65396,-5.0,-2.920353250908077
68117,-5.0,-2.3893811744137317
70844,-5.0,-2.3893811744137317
73563,-5.0,-2.3893811744137317
76285,-5.0,-2.3893811744137317
79005,-5.0,-2.3893811744137317
81725,-5.0,-2.3893811744137317
84445,-5.0,-2.3893811744137317
87166,-5.0,-2.3893811744137317
89886,-5.0,-2.3893811744137317
92608,-5.0,-2.3893811744137317
95327,-5.0,-2.3893811744137317
98049,-5.0,-2.3893811744137317
100770,-5.0,-2.3893811744137317
103495,-5.0,-2.3893811744137317
106215,-5.0,-2.3893811744137317
108936,-5.0,-2.3893811744137317
111656,-5.0,-2.920353250908077
114378,-5.0,-2.920353250908077
117097,-5.0,-2.920353250908077
119828,-5.0,-1.858407390372092
122548,-5.0,-1.858407390372092
125274,-5.0,-1.858407390372092
127994,-5.0,-5.044248387074636
130716,-5.0,-5.044248387074636
133437,-5.0,-5.044248387074636
136157,-5.0,-5.044248387074636
138879,-5.0,-2.920353250908077
141601,-5.0,-2.920353250908077
144321,-5.0,-2.920353250908077
147042,-5.0,-2.3893811744137317
149762,-5.0,-2.3893811744137317
152484,-5.0,-2.3893811744137317
155204,-5.0,-1.3274336063304522
157925,-5.0,-1.3274336063304522
160645,-5.0,-1.3274336063304522
163367,-5.0,-2.3893811744137317
166088,-5.0,-2.3893811744137317
168816,-5.0,-2.3893811744137317
171537,-5.0,-2.3893811744137317
174258,-5.0,-1.858407390372092
176978,-5.0,-1.858407390372092
179704,-5.0,-1.858407390372092
182424,-5.0,-2.3893811744137317
185145,-5.0,-2.3893811744137317
187866,-5.0,-2.3893811744137317
190586,-5.0,-2.920353250908077
193305,-5.0,-2.920353250908077
196027,-5.0,-2.920353250908077
198747,-5.0,-2.920353250908077
201467,-5.0,-2.920353250908077
204187,-5.0,-2.920353250908077
206908,-5.0,-2.920353250908077
209629,-5.0,-2.920353250908077
212356,-5.0,-2.920353250908077
215076,-5.0,-2.920353250908077
217797,-5.0,-1.3274336063304522
220517,-5.0,-1.3274336063304522
223237,-5.0,-1.3274336063304522
225957,-5.0,-2.920353250908077
228680,-5.0,-2.920353250908077
231407,-5.0,-2.920353250908077
234135,-5.0,-2.3893811744137317
236855,-5.0,-2.3893811744137317
239576,-5.0,-2.3893811744137317
242296,-5.0,-2.3893811744137317
245017,-5.0,-3.4513270349497165
247736,-5.0,-3.4513270349497165
250458,-5.0,-3.4513270349497165
253178,-5.0,-3.9823008189913565
255899,-5.0,-3.9823008189913565
258619,-5.0,-3.9823008189913565
261340,-5.0,-2.920353250908077
264060,-5.0,-2.920353250908077
266781,-5.0,-2.920353250908077
269500,-5.0,-2.3893811744137317
272222,-5.0,-2.3893811744137317
274947,-5.0,-2.3893811744137317
277668,-5.0,-2.3893811744137317
280388,-5.0,-3.4513270349497165
283116,-5.0,-3.4513270349497165
285837,-5.0,-3.4513270349497165
288558,-5.0,-2.920353250908077
291277,-5.0,-2.920353250908077
293999,-5.0,-2.920353250908077
296719,-5.0,-2.3893811744137317
299440,-5.0,-2.3893811744137317
302160,-5.0,-2.3893811744137317
304880,-5.0,-2.920353250908077
307600,-5.0,-2.920353250908077
310320,-5.0,-2.920353250908077
313040,-5.0,-2.920353250908077
315761,-5.0,-2.920353250908077
318482,-5.0,-2.920353250908077
321202,-5.0,-2.920353250908077
323922,-5.0,-1.3274336063304522
326643,-5.0,-1.3274336063304522
329363,-5.0,-1.3274336063304522
332083,-5.0,-2.920353250908077
334810,-5.0,-2.920353250908077
337531,-5.0,-2.920353250908077
340252,-5.0,-2.920353250908077
342972,-5.0,-2.920353250908077
345691,-5.0,-2.920353250908077
348413,-5.0,-2.920353250908077
351133,-5.0,-2.3893811744137317
353854,-5.0,-2.3893811744137317
356573,-5.0,-2.3893811744137317
359295,-5.0,-1.3274336063304522
362015,-5.0,-1.3274336063304522
364735,-5.0,-1.3274336063304522
367455,-5.0,-1.858407390372092
370177,-5.0,-1.858407390372092
372897,-5.0,-1.858407390372092
375617,-5.0,-2.3893811744137317
378338,-5.0,-2.3893811744137317
381059,-5.0,-2.3893811744137317
383779,-5.0,-2.3893811744137317
386499,-5.0,-2.920353250908077
389224,-5.0,-2.920353250908077
391945,-5.0,-2.920353250908077
394665,-5.0,-1.3274336063304522
397385,-5.0,-1.3274336063304522
400113,-5.0,-1.3274336063304522
402836,-5.0,-2.3893811744137317
405556,-5.0,-2.3893811744137317
408277,-5.0,-2.3893811744137317
411003,-5.0,-2.920353250908077
413724,-5.0,-2.920353250908077
416444,-5.0,-2.920353250908077
419165,-5.0,-2.920353250908077
421884,-5.0,-2.3893811744137317
424606,-5.0,-2.3893811744137317
427326,-5.0,-2.3893811744137317
430046,-5.0,-2.920353250908077
432766,-5.0,-2.920353250908077
435487,-5.0,-2.920353250908077
438207,-5.0,-2.920353250908077
440927,-5.0,-2.920353250908077
443648,-5.0,-2.920353250908077
446369,-5.0,-3.4513270349497165
449089,-5.0,-3.4513270349497165
451816,-5.0,-3.4513270349497165
454544,-5.0,-3.4513270349497165
457265,-5.0,-2.920353250908077
459985,-5.0,-2.920353250908077
462706,-5.0,-2.920353250908077
465425,-5.0,-3.4513270349497165
468147,-5.0,-3.4513270349497165
470867,-5.0,-3.4513270349497165
473588,-5.0,-2.3893811744137317
476307,-5.0,-2.3893811744137317
479029,-5.0,-2.3893811744137317
481749,-5.0,-1.858407390372092
484469,-5.0,-1.858407390372092
487189,-5.0,-1.858407390372092
489910,-5.0,-1.858407390372092
492630,-5.0,-2.920353250908077
495356,-5.0,-2.920353250908077
498076,-5.0,-2.920353250908077
500798,-5.0,-3.9823008189913565
503518,-5.0,-3.9823008189913565
506238,-5.0,-3.9823008189913565
508961,-5.0,-3.4513270349497165
511683,-5.0,-3.4513270349497165
514403,-5.0,-3.4513270349497165
517124,-5.0,-2.920353250908077
519849,-5.0,-2.920353250908077
522574,-5.0,-2.920353250908077
525297,-5.0,-2.920353250908077
528018,-5.0,-2.920353250908077
530738,-5.0,-2.920353250908077
533460,-5.0,-2.920353250908077
536181,-5.0,-1.858407390372092
538901,-5.0,-1.858407390372092
541621,-5.0,-1.858407390372092
544343,-5.0,-2.3893811744137317
547063,-5.0,-2.3893811744137317
549787,-5.0,-2.3893811744137317
552507,-5.0,-4.513274603032996
555228,-5.0,-4.513274603032996
557949,-5.0,-4.513274603032996
560669,-5.0,-4.513274603032996
563389,-5.0,-3.4513270349497165
566119,-5.0,-3.4513270349497165
568840,-5.0,-3.4513270349497165
571566,-5.0,-2.3893811744137317
574286,-5.0,-2.3893811744137317
577007,-5.0,-2.3893811744137317
579728,-5.0,-1.858407390372092
582449,-5.0,-1.858407390372092
585169,-5.0,-1.858407390372092
587890,-5.0,-3.4513270349497165
590611,-5.0,-3.4513270349497165
593331,-5.0,-3.4513270349497165
596051,-5.0,-3.4513270349497165
598773,-5.0,-2.3893811744137317
601493,-5.0,-2.3893811744137317
604217,-5.0,-2.3893811744137317
606937,-5.0,-2.920353250908077
609658,-5.0,-2.920353250908077
612378,-5.0,-2.920353250908077
615099,-5.0,-5.044248387074636
617835,-5.0,-5.044248387074636
620557,-5.0,-5.044248387074636
623277,-5.0,-1.858407390372092
625998,-5.0,-1.858407390372092
628717,-5.0,-1.858407390372092
631439,-5.0,-1.858407390372092
634159,-5.0,-2.3893811744137317
636885,-5.0,-2.3893811744137317
639606,-5.0,-2.3893811744137317
642328,-5.0,-3.4513270349497165
645048,-5.0,-3.4513270349497165
647769,-5.0,-3.4513270349497165
650489,-5.0,-2.3893811744137317
653211,-5.0,-2.3893811744137317
655931,-5.0,-2.3893811744137317
658652,-5.0,-2.3893811744137317
661375,-5.0,-2.3893811744137317
664097,-5.0,-2.3893811744137317
666824,-5.0,-2.3893811744137317
669545,-5.0,-2.3893811744137317
672265,-5.0,-2.3893811744137317
674987,-5.0,-2.3893811744137317
677707,-5.0,-2.3893811744137317
680428,-5.0,-2.3893811744137317
683154,-5.0,-2.3893811744137317
685876,-5.0,-2.920353250908077
688597,-5.0,-2.920353250908077
691318,-5.0,-2.920353250908077
694044,-5.0,-2.920353250908077
696765,-5.0,-2.920353250908077
699486,-5.0,-2.920353250908077
702206,-5.0,-2.920353250908077
704926,-5.0,-2.3893811744137317
707648,-5.0,-2.3893811744137317
710369,-5.0,-2.3893811744137317
713089,-5.0,-2.3893811744137317
715817,-5.0,-2.3893811744137317
718539,-5.0,-2.3893811744137317
721260,-5.0,-1.858407390372092
723980,-5.0,-1.858407390372092
726700,-5.0,-1.858407390372092
729422,-5.0,-2.920353250908077
732142,-5.0,-2.920353250908077
734864,-5.0,-2.920353250908077
737584,-5.0,-2.920353250908077
740306,-5.0,-2.3893811744137317
743026,-5.0,-2.3893811744137317
745746,-5.0,-2.3893811744137317
748466,-5.0,-3.4513270349497165
751188,-5.0,-3.4513270349497165
753908,-5.0,-3.4513270349497165
756628,-5.0,-2.3893811744137317
759348,-5.0,-2.3893811744137317
762071,-5.0,-2.3893811744137317
764792,-5.0,-2.920353250908077
767513,-5.0,-2.920353250908077
770233,-5.0,-2.920353250908077
772955,-5.0,-2.3893811744137317
775675,-5.0,-2.3893811744137317
778397,-5.0,-2.3893811744137317
781118,-5.0,-2.3893811744137317
783840,-5.0,-1.858407390372092
786561,-5.0,-1.858407390372092
789287,-5.0,-1.858407390372092
792008,-5.0,-1.858407390372092
794730,-5.0,-1.858407390372092
797450,-5.0,-1.858407390372092
800176,-5.0,-2.920353250908077
802896,-5.0,-2.920353250908077
805617,-5.0,-2.920353250908077
808337,-5.0,-2.920353250908077
811058,-5.0,-2.920353250908077
813778,-5.0,-2.920353250908077
816500,-5.0,-2.920353250908077
819220,-5.0,-2.3893811744137317
821940,-5.0,-2.3893811744137317
824660,-5.0,-2.3893811744137317
827381,-5.0,-2.920353250908077
830102,-5.0,-2.920353250908077
832831,-5.0,-2.920353250908077
835555,-5.0,-2.3893811744137317
838277,-5.0,-2.3893811744137317
840997,-5.0,-2.3893811744137317
843718,-5.0,-2.920353250908077
846437,-5.0,-2.920353250908077
849159,-5.0,-2.920353250908077
851879,-5.0,-2.920353250908077
854599,-5.0,-2.920353250908077
857319,-5.0,-2.920353250908077
860040,-5.0,-2.920353250908077
862760,-5.0,-2.3893811744137317
865481,-5.0,-2.3893811744137317
868201,-5.0,-2.3893811744137317
870922,-5.0,-2.920353250908077
873642,-5.0,-2.920353250908077
876368,-5.0,-2.920353250908077
879088,-5.0,-2.920353250908077
881816,-5.0,-1.858407390372092
884536,-5.0,-1.858407390372092
887257,-5.0,-1.858407390372092
889977,-5.0,-2.3893811744137317
892699,-5.0,-2.3893811744137317
895419,-5.0,-2.3893811744137317
898139,-5.0,-2.920353250908077
900859,-5.0,-2.920353250908077
903580,-5.0,-2.920353250908077
906301,-5.0,-2.3893811744137317
909020,-5.0,-2.3893811744137317
911742,-5.0,-2.3893811744137317
914463,-5.0,-2.3893811744137317
917184,-5.0,-3.4513270349497165
919904,-5.0,-3.4513270349497165
922623,-5.0,-3.4513270349497165
925345,-5.0,-2.3893811744137317
928070,-5.0,-2.3893811744137317
930791,-5.0,-2.3893811744137317
933511,-5.0,-2.920353250908077
936233,-5.0,-2.920353250908077
938953,-5.0,-2.920353250908077
941673,-5.0,-2.3893811744137317
944393,-5.0,-2.3893811744137317
947121,-5.0,-2.3893811744137317
949843,-5.0,-2.3893811744137317
952563,-5.0,-1.858407390372092
955283,-5.0,-1.858407390372092
958005,-5.0,-1.858407390372092
960725,-5.0,-2.3893811744137317
963448,-5.0,-2.3893811744137317
966168,-5.0,-2.3893811744137317
968889,-5.0,-2.920353250908077
971611,-5.0,-2.920353250908077
974331,-5.0,-2.920353250908077
977051,-5.0,-2.920353250908077
979774,-5.0,-2.920353250908077
982500,-5.0,-2.920353250908077
985220,-5.0,-2.920353250908077
987940,-5.0,-2.920353250908077
990663,-5.0,-2.920353250908077
993383,-5.0,-2.920353250908077
996103,-5.0,-2.920353250908077
998830,-5.0,-2.920353250908077
1001552,-5.0,-2.920353250908077
1004272,-5.0,-2.3893811744137317
1006992,-5.0,-2.3893811744137317
1009712,-5.0,-2.3893811744137317
1012433,-5.0,-2.3893811744137317
1015154,-5.0,-2.3893811744137317
1017874,-5.0,-2.3893811744137317
1020594,-5.0,-2.3893811744137317
1023315,-5.0,-3.4513270349497165
1026041,-5.0,-3.4513270349497165
1028762,-5.0,-3.4513270349497165
1031482,-5.0,-2.3893811744137317
1034204,-5.0,-2.3893811744137317
1036924,-5.0,-2.3893811744137317
1039644,-5.0,-3.4513270349497165
1042364,-5.0,-3.4513270349497165
1045086,-5.0,-3.4513270349497165
1047812,-5.0,-2.3893811744137317
1050532,-5.0,-2.3893811744137317
1053253,-5.0,-2.3893811744137317
1055973,-5.0,-2.3893811744137317
1058693,-5.0,-2.3893811744137317
1061415,-5.0,-2.3893811744137317
1064135,-5.0,-2.3893811744137317
1066857,-5.0,-1.858407390372092
1069577,-5.0,-1.858407390372092
1072297,-5.0,-1.858407390372092
1075017,-5.0,-1.858407390372092
1077738,-5.0,-1.858407390372092
1080459,-5.0,-1.858407390372092
1083179,-5.0,-1.858407390372092
1085905,-5.0,-1.3274336063304522
1088626,-5.0,-1.3274336063304522
1091346,-5.0,-1.3274336063304522
1094067,-5.0,-2.3893811744137317
1096787,-5.0,-2.3893811744137317
1099508,-5.0,-2.3893811744137317
1102228,-5.0,-2.920353250908077
1104948,-5.0,-2.920353250908077
1107668,-5.0,-2.920353250908077
